Start Time,End Time,In,Out
Unknown,6/22/2026 6:15 PM,66,Unknown
6/22/2026 6:15 PM,6/22/2026 6:30 PM,1,14
6/22/2026 6:30 PM,6/22/2026 7:00 PM,2,26
6/22/2026 7:00 PM,6/22/2026 7:30 PM,2,16
6/22/2026 7:30 PM,6/22/2026 8:00 PM,1,6
6/22/2026 8:00 PM,6/22/2026 8:30 PM,0,5
6/22/2026 8:30 PM,6/22/2026 9:00 PM,2,3
