Start Time,End Time,In,Out
Unknown,6/25/2026 8:30 AM,118,Unknown
6/25/2026 8:30 AM,6/25/2026 9:00 AM,10,8
6/25/2026 9:00 AM,6/25/2026 9:30 AM,6,13
6/25/2026 9:30 AM,6/25/2026 10:00 AM,7,16
6/25/2026 10:00 AM,6/25/2026 10:30 AM,6,23
6/25/2026 10:30 AM,6/25/2026 11:00 AM,4,17
6/25/2026 11:00 AM,6/25/2026 11:30 AM,4,16
6/25/2026 11:30 AM,6/25/2026 12:00 PM,1,8
6/25/2026 12:00 PM,6/25/2026 12:30 PM,3,12
6/25/2026 12:30 PM,6/25/2026 1:00 PM,1,5
6/25/2026 1:00 PM,6/25/2026 1:30 PM,4,10
6/25/2026 1:30 PM,6/25/2026 2:00 PM,2,1
6/25/2026 2:00 PM,6/25/2026 2:30 PM,2,5
6/25/2026 2:30 PM,6/25/2026 3:00 PM,2,10
6/25/2026 3:00 PM,6/25/2026 3:30 PM,54,15
6/25/2026 3:30 PM,6/25/2026 4:00 PM,44,15
