Start Time,End Time,In,Out
Unknown,6/20/2026 6:00 AM,18,2
6/20/2026 6:00 AM,6/20/2026 6:30 AM,5,3
6/20/2026 6:30 AM,6/20/2026 7:00 AM,18,5
6/20/2026 7:00 AM,6/20/2026 7:30 AM,20,8
6/20/2026 7:30 AM,6/20/2026 8:00 AM,33,9
6/20/2026 8:00 AM,6/20/2026 8:30 AM,41,11
6/20/2026 8:30 AM,6/20/2026 9:00 AM,63,14
6/20/2026 9:00 AM,6/20/2026 9:30 AM,62,24
6/20/2026 9:30 AM,6/20/2026 10:00 AM,100,82
6/20/2026 10:00 AM,6/20/2026 10:30 AM,110,90
6/20/2026 10:30 AM,6/20/2026 11:00 AM,114,105
6/20/2026 11:00 AM,6/20/2026 11:30 AM,142,139
6/20/2026 11:30 AM,6/20/2026 12:00 PM,106,100
6/20/2026 12:00 PM,6/20/2026 12:30 PM,101,107
6/20/2026 12:30 PM,6/20/2026 1:00 PM,114,124
6/20/2026 1:00 PM,6/20/2026 1:30 PM,126,102
6/20/2026 1:30 PM,6/20/2026 2:00 PM,94,87
6/20/2026 2:00 PM,6/20/2026 2:30 PM,91,96
6/20/2026 2:30 PM,6/20/2026 3:00 PM,61,84
6/20/2026 3:00 PM,6/20/2026 3:30 PM,61,66
6/20/2026 3:30 PM,6/20/2026 4:00 PM,54,72
6/20/2026 4:00 PM,6/20/2026 4:30 PM,59,61
6/20/2026 4:30 PM,6/20/2026 5:00 PM,40,74
