Start Time,End Time,In,Out
Unknown,6/27/2026 8:30 AM,55,Unknown
6/27/2026 8:30 AM,6/27/2026 9:00 AM,32,8
6/27/2026 9:00 AM,6/27/2026 9:30 AM,58,12
6/27/2026 9:30 AM,6/27/2026 10:00 AM,60,9
6/27/2026 10:00 AM,6/27/2026 10:30 AM,109,88
6/27/2026 10:30 AM,6/27/2026 11:00 AM,115,98
6/27/2026 11:00 AM,6/27/2026 11:30 AM,124,131
6/27/2026 11:30 AM,6/27/2026 12:00 PM,125,117
6/27/2026 12:00 PM,6/27/2026 12:30 PM,73,101
6/27/2026 12:30 PM,6/27/2026 1:00 PM,81,73
6/27/2026 1:00 PM,6/27/2026 1:30 PM,72,68
6/27/2026 1:30 PM,6/27/2026 2:00 PM,59,62
6/27/2026 2:00 PM,6/27/2026 2:30 PM,76,61
6/27/2026 2:30 PM,6/27/2026 3:00 PM,58,71
6/27/2026 3:00 PM,6/27/2026 3:30 PM,52,67
6/27/2026 3:30 PM,6/27/2026 4:00 PM,34,65
