Start Time,End Time,In,Out
Unknown,6/30/2026 9:00 AM,156,Unknown
6/30/2026 9:00 AM,6/30/2026 9:30 AM,2,17
6/30/2026 9:30 AM,6/30/2026 10:00 AM,4,11
6/30/2026 10:00 AM,6/30/2026 10:30 AM,1,21
6/30/2026 10:30 AM,6/30/2026 11:00 AM,6,21
6/30/2026 11:00 AM,6/30/2026 11:30 AM,2,16
6/30/2026 11:30 AM,6/30/2026 12:00 PM,1,23
6/30/2026 12:00 PM,6/30/2026 12:30 PM,1,29
6/30/2026 12:30 PM,6/30/2026 1:00 PM,5,15
6/30/2026 1:00 PM,6/30/2026 1:30 PM,4,11
6/30/2026 1:30 PM,6/30/2026 2:00 PM,3,7
6/30/2026 2:00 PM,6/30/2026 2:30 PM,8,6
6/30/2026 2:30 PM,6/30/2026 3:00 PM,3,8
6/30/2026 3:00 PM,6/30/2026 3:30 PM,30,13
6/30/2026 3:30 PM,6/30/2026 4:00 PM,49,12
