QR Number,Timestamp,Parked?,# People in Car,Where did They Go?
21,6/23/2026 4:16 PM,TRUE,2,
78,6/23/2026 5:16 PM,TRUE,2,
71,6/23/2026 5:16 PM,TRUE,3,
52,6/23/2026 5:17 PM,TRUE,2,
83,6/23/2026 5:18 PM,TRUE,2,
84,6/23/2026 5:20 PM,TRUE,2,
11,6/23/2026 5:23 PM,TRUE,2,
70,6/23/2026 5:23 PM,TRUE,4,
69,6/23/2026 5:23 PM,TRUE,3,
57,6/23/2026 5:26 PM,TRUE,2,
34,6/23/2026 5:28 PM,TRUE,1,
29,6/23/2026 5:28 PM,TRUE,3,
32,6/23/2026 5:31 PM,TRUE,3,
25,6/23/2026 5:33 PM,TRUE,2,
7,6/23/2026 5:33 PM,TRUE,2,
49,6/23/2026 5:37 PM,TRUE,2,
58,6/23/2026 5:38 PM,TRUE,2,
37,6/23/2026 5:38 PM,TRUE,4,
19,6/23/2026 5:39 PM,TRUE,2,
20,6/23/2026 5:39 PM,TRUE,2,
86,6/23/2026 5:40 PM,TRUE,2,
2,6/23/2026 5:43 PM,TRUE,2,
33,6/23/2026 5:44 PM,TRUE,2,
6,6/23/2026 5:45 PM,TRUE,4,
55,6/23/2026 5:47 PM,TRUE,3,
94,6/23/2026 5:50 PM,TRUE,2,
26,6/23/2026 5:53 PM,TRUE,1,
35,6/23/2026 5:54 PM,TRUE,2,
93,6/23/2026 5:55 PM,TRUE,2,
61,6/23/2026 5:55 PM,TRUE,2,
101,6/23/2026 5:59 PM,TRUE,2,
62,6/23/2026 6:01 PM,TRUE,2,
53,6/23/2026 6:01 PM,TRUE,2,
95,6/23/2026 6:02 PM,TRUE,4,
107,6/23/2026 6:02 PM,TRUE,2,
21,6/23/2026 6:02 PM,TRUE,4,
109,6/23/2026 6:04 PM,TRUE,2,
110,6/23/2026 6:05 PM,TRUE,1,
59,6/23/2026 6:06 PM,TRUE,5,
17,6/23/2026 6:07 PM,TRUE,2,
90,6/23/2026 6:07 PM,TRUE,3,
92,6/23/2026 6:08 PM,TRUE,2,
23,6/23/2026 6:10 PM,TRUE,2,
