QR Number,Timestamp,Parked?,# People in Car,Where did They Go?
65,6/28/2026 10:24 AM,TRUE,2,
252,6/28/2026 10:24 AM,FALSE,1,
75,6/28/2026 10:26 AM,TRUE,3,Jordan Pond
201,6/28/2026 10:26 AM,TRUE,5,Jordan Pond House
234,6/28/2026 10:29 AM,FALSE,2,
239,6/28/2026 10:30 AM,FALSE,3,
228,6/28/2026 10:31 AM,TRUE,4,Jordan Pond
277,6/28/2026 10:32 AM,FALSE,2,
88,6/28/2026 10:32 AM,TRUE,6,Jordan Pond
289,6/28/2026 10:34 AM,FALSE,1,
198,6/28/2026 10:34 AM,TRUE,2,"Jordan Pond House, Jordan Pond"
270,6/28/2026 10:35 AM,FALSE,4,
268,6/28/2026 10:35 AM,FALSE,4,
131,6/28/2026 10:35 AM,FALSE,4,
267,6/28/2026 10:35 AM,FALSE,3,
280,6/28/2026 10:35 AM,FALSE,2,
286,6/28/2026 10:35 AM,FALSE,2,
233,6/28/2026 10:36 AM,FALSE,4,
129,6/28/2026 10:36 AM,FALSE,2,
266,6/28/2026 10:36 AM,FALSE,2,
232,6/28/2026 10:37 AM,FALSE,2,
235,6/28/2026 10:37 AM,FALSE,4,
264,6/28/2026 10:37 AM,FALSE,2,
13,6/28/2026 10:37 AM,TRUE,2,"Jordan Pond House, Jordan Pond"
187,6/28/2026 10:39 AM,TRUE,3,Jordan Pond House
276,6/28/2026 10:39 AM,FALSE,2,
275,6/28/2026 10:39 AM,FALSE,3,
269,6/28/2026 10:39 AM,FALSE,2,
273,6/28/2026 10:40 AM,FALSE,5,
218,6/28/2026 10:40 AM,TRUE,3,"Jordan Pond House, Jordan Pond"
128,6/28/2026 10:40 AM,FALSE,1,
263,6/28/2026 10:40 AM,FALSE,1,
113,6/28/2026 10:42 AM,TRUE,3,Jordan Pond
258,6/28/2026 10:42 AM,FALSE,2,
262,6/28/2026 10:43 AM,FALSE,2,
27,6/28/2026 10:43 AM,FALSE,2,
261,6/28/2026 10:44 AM,FALSE,3,
209,6/28/2026 10:44 AM,FALSE,1,
40,6/28/2026 10:44 AM,FALSE,2,
242,6/28/2026 10:45 AM,TRUE,2,
299,6/28/2026 10:45 AM,FALSE,4,
93,6/28/2026 10:45 AM,TRUE,2,"Other Walking Trails, Jordan Pond"
162,6/28/2026 10:46 AM,TRUE,2,
86,6/28/2026 10:47 AM,TRUE,2,Jordan Pond
284,6/28/2026 10:48 AM,FALSE,4,
297,6/28/2026 10:49 AM,FALSE,2,
32,6/28/2026 10:50 AM,TRUE,3,Jordan Pond
279,6/28/2026 10:50 AM,TRUE,1,Jordan Pond
298,6/28/2026 10:50 AM,FALSE,3,
