QR Number,Timestamp,Parked?,# People in Car,Where did They Go?
140,7/8/2026 7:58 AM,TRUE,2,Jordan Pond
126,7/8/2026 9:10:27,TRUE,3,Jordan Pond
85,7/8/2026 9:12 AM,TRUE,2,
187,7/8/2026 9:16 AM,TRUE,1,Jordan Pond
46,7/8/2026 9:16 AM,TRUE,3,Jordan Pond
69,7/8/2026 9:18 AM,TRUE,1,Jordan Pond House
107,7/8/2026 9:19 AM,TRUE,4,Jordan Pond
128,7/8/2026 9:23 AM,TRUE,4,Jordan Pond
195,7/8/2026 9:23 AM,TRUE,1,Jordan Pond
114,7/8/2026 9:26 AM,TRUE,3,Jordan Pond
258,7/8/2026 9:30 AM,TRUE,2,Jordan Pond
246,7/8/2026 9:33 AM,TRUE,3,"Other Walking Trails, Jordan Pond"
263,7/8/2026 9:37 AM,TRUE,1,"Other Walking Trails, Jordan Pond"
190,7/8/2026 9:37 AM,TRUE,1,
223,7/8/2026 9:38 AM,TRUE,4,"Jordan Pond House, Jordan Pond"
71,7/8/2026 9:49 AM,FALSE,2,
71,7/8/2026 9:49 AM,TRUE,2,
239,7/8/2026 9:49 AM,FALSE,1,
225,7/8/2026 9:49 AM,FALSE,2,
170,7/8/2026 9:51 AM,TRUE,2,Jordan Pond
244,7/8/2026 9:52 AM,FALSE,2,
294,7/8/2026 9:53 AM,TRUE,1,Jordan Pond
150,7/8/2026 9:53 AM,TRUE,2,Jordan Pond House
100,7/8/2026 9:54 AM,TRUE,2,Other Walking Trails
62,7/8/2026 9:54 AM,TRUE,2,Jordan Pond House
293,7/8/2026 9:55 AM,FALSE,5,
152,7/8/2026 9:55 AM,TRUE,1,Jordan Pond
280,7/8/2026 9:56 AM,TRUE,4,Jordan Pond
18,7/8/2026 9:56 AM,TRUE,1,
105,7/8/2026 9:57 AM,TRUE,2,Jordan Pond
222,7/8/2026 9:59 AM,TRUE,2,"Jordan Pond House, Jordan Pond"
109,7/8/2026 9:59 AM,FALSE,2,
131,7/8/2026 9:59 AM,TRUE,2,Jordan Pond
201,7/8/2026 10:08 AM,FALSE,3,
12,7/8/2026 10:09 AM,FALSE,5,
24,7/8/2026 8:02 AM,TRUE,1,
291,7/8/2026 8:04 AM,TRUE,2,Jordan Pond
221,7/8/2026 8:04 AM,TRUE,2,
93,7/8/2026 8:15 AM,TRUE,2,
57,7/8/2026 8:21 AM,TRUE,2,"Jordan Pond House, Jordan Pond"
265,7/8/2026 8:30 AM,TRUE,2,Jordan Pond
178,7/8/2026 8:42 AM,TRUE,2,Jordan Pond
199,7/8/2026 8:46 AM,TRUE,3,
212,7/8/2026 8:47 AM,TRUE,1,"Other Walking Trails, Jordan Pond"
90,7/8/2026 8:48 AM,TRUE,2,"Other Walking Trails, Jordan Pond"
273,7/8/2026 8:49 AM,TRUE,2,Jordan Pond
174,7/8/2026 8:50 AM,TRUE,2,
288,7/8/2026 8:52 AM,TRUE,2,Jordan Pond
139,7/8/2026 8:57 AM,TRUE,3,Jordan Pond
267,7/8/2026 8:58 AM,TRUE,2,
13,7/8/2026 10:54 AM,TRUE,4,
243,7/8/2026 10:01 AM,TRUE,2,Jordan Pond
269,7/8/2026 10:01 AM,FALSE,2,
220,7/8/2026 10:01 AM,FALSE,2,
98,7/8/2026 10:02 AM,FALSE,3,
179,7/8/2026 10:02 AM,FALSE,2,
230,7/8/2026 10:03 AM,FALSE,2,
36,7/8/2026 10:04 AM,FALSE,4,
231,7/8/2026 10:05 AM,FALSE,4,
191,7/8/2026 10:05 AM,FALSE,2,
144,7/8/2026 10:05 AM,FALSE,2,
165,7/8/2026 10:05 AM,FALSE,5,
270,7/8/2026 10:06 AM,FALSE,3,
39,7/8/2026 10:06 AM,FALSE,4,
54,7/8/2026 10:06 AM,FALSE,2,
218,7/8/2026 10:06 AM,FALSE,1,
240,7/8/2026 10:06 AM,FALSE,2,
2,7/8/2026 10:07 AM,FALSE,2,
204,7/8/2026 10:07 AM,FALSE,2,
45,7/8/2026 10:07 AM,FALSE,1,
86,7/8/2026 10:08 AM,FALSE,2,
188,7/8/2026 10:08 AM,TRUE,2,Other Walking Trails
216,7/8/2026 10:08 AM,FALSE,4,
161,7/8/2026 10:09 AM,FALSE,2,
173,7/8/2026 10:09 AM,TRUE,5,"Other Walking Trails, Jordan Pond"
160,7/8/2026 10:14 AM,TRUE,1,Jordan Pond
158,7/8/2026 10:15 AM,TRUE,2,"Jordan Pond House, Jordan Pond"
32,7/8/2026 10:17 AM,TRUE,4,
9,7/8/2026 10:22 AM,TRUE,6,Jordan Pond
228,7/8/2026 10:24 AM,TRUE,2,
249,7/8/2026 10:25 AM,TRUE,5,Jordan Pond
148,7/8/2026 10:26 AM,TRUE,1,Other Walking Trails
1,7/8/2026 10:26 AM,TRUE,2,Jordan Pond
159,7/8/2026 10:26 AM,TRUE,2,
164,7/8/2026 10:26 AM,TRUE,4,
154,7/8/2026 10:27 AM,TRUE,2,Jordan Pond
237,7/8/2026 10:28:12,TRUE,2,Jordan Pond
281,7/8/2026 10:28:40,TRUE,3,Other Walking Trails
125,7/8/2026 10:31:25,TRUE,3,Jordan Pond
17,7/8/2026 10:32:06,TRUE,3,Jordan Pond
42,7/8/2026 10:35:54,TRUE,3,
153,7/8/2026 10:39:13,TRUE,2,Jordan Pond
198,7/8/2026 10:39:36,TRUE,4,Jordan Pond
35,7/8/2026 10:40:06,TRUE,3,Other Walking Trails
123,7/8/2026 10:46:31,TRUE,2,"Other Walking Trails, Jordan Pond"
284,7/8/2026 10:47:28,TRUE,4,
167,7/8/2026 10:47:38,TRUE,2,Other Walking Trails
289,7/8/2026 10:47:53,TRUE,2,Jordan Pond
121,7/8/2026 10:50:07,TRUE,4,
78,7/8/2026 10:53:42,TRUE,2,
133,7/8/2026 10:53:56,TRUE,2,Jordan Pond
3,7/8/2026 10:54:26,TRUE,4,
208,7/8/2026 6:22:16,TRUE,2,Jordan Pond
262,7/8/2026 6:33:27,TRUE,5,Jordan Pond
223,7/8/2026 6:58:45,TRUE,2,Jordan Pond
