QR Number,Timestamp,Parked?,# People in Car,Where did They Go?
3,6/29/2026 11:33 AM,FALSE,4,
6,6/29/2026 11:34:14,FALSE,5,
9,6/29/2026 11:35 AM,FALSE,2,
12,6/29/2026 11:36 AM,FALSE,2,
13,6/29/2026 11:36 AM,FALSE,3,
14,6/29/2026 11:36 AM,FALSE,4,
19,6/29/2026 11:37 AM,FALSE,4,
20,6/29/2026 11:37 AM,FALSE,2,
15,6/29/2026 11:46 AM,FALSE,6,
25,6/29/2026 11:47 AM,FALSE,2,
34,6/29/2026 11:47 AM,FALSE,2,
50,6/29/2026 11:48 AM,FALSE,3,
16,6/29/2026 11:48 AM,FALSE,3,
30,6/29/2026 11:51 AM,FALSE,2,
63,6/29/2026 11:52 AM,FALSE,2,
32,6/29/2026 11:52 AM,FALSE,2,
86,6/29/2026 11:53 AM,FALSE,5,
38,6/29/2026 11:54 AM,FALSE,2,
43,6/29/2026 11:55 AM,FALSE,2,
93,6/29/2026 11:56 AM,FALSE,3,
68,6/29/2026 11:59 AM,FALSE,4,
11,6/29/2026 12:00 PM,FALSE,3,
78,6/29/2026 12:01 PM,FALSE,2,
80,6/29/2026 12:02 PM,FALSE,4,
90,6/29/2026 12:03 PM,FALSE,1,
72,6/29/2026 12:04 PM,FALSE,3,
89,6/29/2026 12:07 PM,FALSE,1,
21,6/29/2026 11:37 AM,FALSE,2,
18,6/29/2026 11:38 AM,FALSE,2,
105,6/29/2026 12:07 PM,FALSE,2,
22,6/29/2026 11:38 AM,FALSE,2,
2,6/29/2026 11:42 AM,FALSE,2,
4,6/29/2026 11:42 AM,FALSE,2,
103,6/29/2026 12:08 PM,FALSE,2,
42,6/29/2026 11:43 AM,FALSE,2,
98,6/29/2026 12:08 PM,FALSE,7,
36,6/29/2026 11:44 AM,FALSE,1,
28,6/29/2026 11:44 AM,FALSE,2,
67,6/29/2026 12:11 PM,FALSE,1,
37,6/29/2026 11:44 AM,FALSE,2,
45,6/29/2026 11:44 AM,FALSE,2,
73,6/29/2026 12:11 PM,FALSE,2,
170,6/29/2026 12:11 PM,FALSE,4,
106,6/29/2026 12:12 PM,FALSE,2,
33,6/29/2026 11:45 AM,TRUE,4,
154,6/29/2026 12:13 PM,FALSE,4,
165,6/29/2026 12:14 PM,FALSE,4,
47,6/29/2026 11:47 AM,FALSE,2,
167,6/29/2026 12:14 PM,FALSE,3,
24,6/29/2026 11:47 AM,FALSE,1,
161,6/29/2026 12:18 PM,FALSE,1,
149,6/29/2026 12:22 PM,FALSE,2,
147,6/29/2026 12:22 PM,FALSE,3,
48,6/29/2026 11:48 AM,FALSE,3,
145,6/29/2026 12:22 PM,FALSE,3,
119,6/29/2026 12:23 PM,FALSE,3,
121,6/29/2026 12:23 PM,FALSE,4,
10,6/29/2026 11:48 AM,FALSE,3,
65,6/29/2026 11:51 AM,FALSE,2,
113,6/29/2026 12:23 PM,FALSE,3,
87,6/29/2026 11:51 AM,FALSE,2,
82,6/29/2026 12:24 PM,FALSE,2,
57,6/29/2026 11:52 AM,FALSE,2,
135,6/29/2026 12:27 PM,FALSE,5,
8,6/29/2026 11:52 AM,FALSE,2,
51,6/29/2026 11:58 AM,FALSE,2,
181,6/29/2026 12:29 PM,FALSE,3,
146,6/29/2026 12:30 PM,FALSE,1,
31,6/29/2026 12:01 PM,FALSE,3,
52,6/29/2026 12:01 PM,FALSE,2,
124,6/29/2026 12:30 PM,FALSE,1,
97,6/29/2026 12:02 PM,FALSE,2,
84,6/29/2026 12:03 PM,FALSE,2,
152,6/29/2026 12:31 PM,FALSE,2,
70,6/29/2026 12:03 PM,FALSE,4,
129,6/29/2026 12:31 PM,FALSE,2,
188,6/29/2026 12:36 PM,FALSE,2,
144,6/29/2026 12:40 PM,FALSE,2,
75,6/29/2026 12:06 PM,FALSE,2,
194,6/29/2026 12:42 PM,FALSE,5,
101,6/29/2026 12:07 PM,FALSE,2,
71,6/29/2026 12:43 PM,FALSE,2,
69,6/29/2026 12:07 PM,FALSE,2,
227,6/29/2026 12:43 PM,FALSE,3,
92,6/29/2026 12:07 PM,FALSE,1,
219,6/29/2026 12:44 PM,FALSE,2,
77,6/29/2026 12:08:03,FALSE,2,
231,6/29/2026 12:44:50,FALSE,1,
102,6/29/2026 12:08:38,FALSE,2,
221,6/29/2026 12:45:47,FALSE,3,
114,6/29/2026 12:10:11,FALSE,4,
192,6/29/2026 12:46:22,FALSE,3,
300,6/29/2026 13:32:42,TRUE,2,
193,6/29/2026 12:46:58,FALSE,3,
58,6/29/2026 12:12:25,FALSE,2,
196,6/29/2026 12:48:37,FALSE,4,
234,6/29/2026 12:49:06,FALSE,3,
198,6/29/2026 12:49:26,FALSE,2,
85,6/29/2026 12:12:42,FALSE,2,
151,6/29/2026 12:13:15,FALSE,2,
46,6/29/2026 12:13:58,FALSE,2,
229,6/29/2026 12:50:01,FALSE,2,
168,6/29/2026 12:14:13,FALSE,2,
105,6/29/2026 12:53:09,FALSE,3,
98,6/29/2026 12:53:36,FALSE,2,
68,6/29/2026 12:55:05,FALSE,3,
11,6/29/2026 12:55:27,FALSE,2,
79,6/29/2026 12:15:01,FALSE,5,
43,6/29/2026 12:55:48,FALSE,3,
160,6/29/2026 12:15:22,FALSE,2,
228,6/29/2026 12:56:25,FALSE,1,
7,6/29/2026 12:16:10,FALSE,2,
139,6/29/2026 12:56:48,TRUE,3,Jordan Pond House
107,6/29/2026 12:16:52,FALSE,2,
44,6/29/2026 12:17:55,FALSE,2,
55,6/29/2026 13:02:08,TRUE,2,Jordan Pond
103,6/29/2026 13:02:52,FALSE,4,
32,6/29/2026 13:05:09,FALSE,4,
178,6/29/2026 13:07:02,FALSE,2,
120,6/29/2026 12:18:17,FALSE,3,
143,6/29/2026 12:19:08,FALSE,4,
141,6/29/2026 12:19:48,FALSE,2,
116,6/29/2026 12:22:08,FALSE,2,
223,6/29/2026 14:26:01,FALSE,2,
118,6/29/2026 12:23:05,FALSE,2,
117,6/29/2026 12:23:29,FALSE,2,
164,6/29/2026 13:07:19,TRUE,2,Jordan Pond House
15,6/29/2026 13:10:03,FALSE,2,
122,6/29/2026 12:23:47,FALSE,2,
202,6/29/2026 13:12:19,FALSE,2,
208,6/29/2026 13:12:59,FALSE,3,
142,6/29/2026 12:24:01,FALSE,2,
144,6/29/2026 13:19:18,FALSE,2,
175,6/29/2026 12:24:28,FALSE,2,
171,6/29/2026 13:19:30,TRUE,4,Jordan Pond House
173,6/29/2026 12:26:18,FALSE,2,
204,6/29/2026 13:19:43,FALSE,3,
172,6/29/2026 12:26:55,FALSE,2,
152,6/29/2026 13:22:01,FALSE,2,
198,6/29/2026 13:22:18,FALSE,2,
174,6/29/2026 12:27:25,FALSE,2,
135,6/29/2026 13:22:34,FALSE,3,
196,6/29/2026 13:22:52,FALSE,2,
19,6/29/2026 13:23:04,FALSE,4,
128,6/29/2026 12:29:03,FALSE,3,
193,6/29/2026 13:23:25,FALSE,2,
126,6/29/2026 12:29:20,FALSE,2,
132,6/29/2026 12:29:35,FALSE,2,
219,6/29/2026 13:24:52,FALSE,4,
125,6/29/2026 12:30:31,FALSE,3,
194,6/29/2026 13:26:39,FALSE,2,
90,6/29/2026 13:31:22,FALSE,2,
131,6/29/2026 12:30:54,FALSE,2,
90,6/29/2026 13:32:42,TRUE,2,
211,6/29/2026 12:31:06,FALSE,2,
59,6/29/2026 12:32:32,FALSE,2,
216,6/29/2026 12:35:47,FALSE,2,
220,6/29/2026 12:39:24,FALSE,2,
133,6/29/2026 13:35:43,FALSE,2,
212,6/29/2026 12:40:11,FALSE,3,
126,6/29/2026 13:36:01,FALSE,7,
222,6/29/2026 12:42:41,FALSE,3,
59,6/29/2026 13:37:14,FALSE,2,
172,6/29/2026 13:38:31,FALSE,2,
213,6/29/2026 13:38:44,TRUE,2,Jordan Pond House
